"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"148","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","208","OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"149","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","228","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"150","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","228","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"151","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","243","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"152","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","243","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"153","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","2","254","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"154","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","2","254","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"155","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","2","258","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"156","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","2","258","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"157","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","265","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'user'","Code Style","UnnecessaryLocalBeforeReturn"
"158","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","265","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'user'","Code Style","UnnecessaryLocalBeforeReturn"
"159","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","268","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"160","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","268","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"161","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","344","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"162","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","344","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"163","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","353","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"164","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","353","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"165","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","358","AvoidPrintStackTrace: Avoid printStackTrace(); use a logger call instead.","Best Practices","AvoidPrintStackTrace"
"166","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/DBBroker.java","3","358","AvoidPrintStackTrace: Avoid printStackTrace(); use a logger call instead.","Best Practices","AvoidPrintStackTrace"
"167","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","3","9","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"168","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","3","9","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"169","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","4","10","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"170","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","4","10","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"171","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","2","11","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"172","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","2","11","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"173","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","2","14","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"174","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","2","14","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"175","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","3","18","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"176","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","3","18","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"177","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","4","27","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"178","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","4","27","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"179","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","3","30","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'duracion'","Code Style","UnnecessaryLocalBeforeReturn"
"180","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/EspecialidadDAO.java","3","30","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'duracion'","Code Style","UnnecessaryLocalBeforeReturn"
"181","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","4","18","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"182","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","4","18","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"183","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","3","19","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'gestor'","Code Style","UnnecessaryLocalBeforeReturn"
"184","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","3","19","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'gestor'","Code Style","UnnecessaryLocalBeforeReturn"
"185","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","4","23","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"186","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","4","23","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"187","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","1","25","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"188","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","1","25","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"189","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","3","29","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"190","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","3","29","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"191","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","4","30","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"192","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","4","30","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"193","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","2","31","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"194","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","2","31","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"195","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","2","34","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"196","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","2","34","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"197","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","3","36","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"198","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","3","36","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"199","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","4","53","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"200","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GestorDAO.java","4","53","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"201","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GrupoMedicoDAO.java","3","8","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"202","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GrupoMedicoDAO.java","3","8","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"203","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GrupoMedicoDAO.java","4","9","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"204","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/GrupoMedicoDAO.java","4","9","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"205","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","3","4","UnusedImports: Avoid unused imports such as 'java.util.HashMap'","Best Practices","UnusedImports"
"206","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","3","4","UnusedImports: Avoid unused imports such as 'java.util.HashMap'","Best Practices","UnusedImports"
"207","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","3","5","UnusedImports: Avoid unused imports such as 'java.util.List'","Best Practices","UnusedImports"
"208","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","3","5","UnusedImports: Avoid unused imports such as 'java.util.List'","Best Practices","UnusedImports"
"209","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","3","11","UnusedImports: Avoid unused imports such as 'com.tgs.tgh.model.Medico'","Best Practices","UnusedImports"
"210","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","3","11","UnusedImports: Avoid unused imports such as 'com.tgs.tgh.model.Medico'","Best Practices","UnusedImports"
"211","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","4","17","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"212","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","4","17","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"213","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","3","21","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"214","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","3","21","AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"215","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","4","31","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"216","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","4","31","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"217","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","4","35","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"218","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/HorarioMedicoDAO.java","4","35","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"219","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","4","9","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"220","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","4","9","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"221","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","3","10","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'medico'","Code Style","UnnecessaryLocalBeforeReturn"
"222","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","3","10","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'medico'","Code Style","UnnecessaryLocalBeforeReturn"
"223","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","4","14","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"224","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","4","14","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"225","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","4","18","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"226","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","4","18","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"227","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","1","20","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"228","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/MedicoDAO.java","1","20","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"229","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","9","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"230","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","9","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"231","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","3","10","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'paciente'","Code Style","UnnecessaryLocalBeforeReturn"
"232","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","3","10","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'paciente'","Code Style","UnnecessaryLocalBeforeReturn"
"233","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","14","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"234","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","14","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"235","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","18","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"236","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","18","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"237","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","1","20","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"238","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","1","20","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"239","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","25","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"240","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","25","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"241","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","29","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"242","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/PacienteDAO.java","4","29","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"243","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","8","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"244","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","8","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"245","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","3","9","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'usu'","Code Style","UnnecessaryLocalBeforeReturn"
"246","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","3","9","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'usu'","Code Style","UnnecessaryLocalBeforeReturn"
"247","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","13","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"248","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","13","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"249","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","17","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"250","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","17","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"251","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","1","19","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"252","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","1","19","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"253","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","3","19","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"254","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","3","19","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"255","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","23","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"256","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","23","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"257","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","27","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"258","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/UsuarioDAO.java","4","27","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"259","com.tgs.tgh.encriptar","src/main/java/com/tgs/tgh/encriptar/Encriptador.java","3","13","LongVariable: Avoid excessively long variable names like base64EncryptedString","Code Style","LongVariable"
"260","com.tgs.tgh.encriptar","src/main/java/com/tgs/tgh/encriptar/Encriptador.java","3","13","LongVariable: Avoid excessively long variable names like base64EncryptedString","Code Style","LongVariable"
"261","com.tgs.tgh.encriptar","src/main/java/com/tgs/tgh/encriptar/Encriptador.java","2","33","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"262","com.tgs.tgh.encriptar","src/main/java/com/tgs/tgh/encriptar/Encriptador.java","2","33","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"263","com.tgs.tgh.encriptar","src/main/java/com/tgs/tgh/encriptar/Encriptador.java","2","55","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"264","com.tgs.tgh.encriptar","src/main/java/com/tgs/tgh/encriptar/Encriptador.java","2","55","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"265","com.tgs.tgh.model","src/main/java/com/tgs/tgh/model/Cita.java","3","3","DataClass: The class 'Cita' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=9)","Design","DataClass"
"266","com.tgs.tgh.model","src/main/java/com/tgs/tgh/model/Cita.java","3","3","DataClass: The class 'Cita' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=9)","Design","DataClass"
"267","com.tgs.tgh.model","src/main/java/com/tgs/tgh/model/GrupoMedico.java","3","5","DataClass: The class 'GrupoMedico' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"268","com.tgs.tgh.model","src/main/java/com/tgs/tgh/model/GrupoMedico.java","3","5","DataClass: The class 'GrupoMedico' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"269","com.tgs.tgh.model","src/main/java/com/tgs/tgh/model/GrupoMedico.java","2","7","StringInstantiation: Avoid instantiating String objects; this is usually unnecessary.","Performance","StringInstantiation"
