"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"59","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","258","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"60","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","258","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"61","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","260","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"62","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","260","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"63","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","280","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"64","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","280","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"65","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","300","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"66","com.tgs.tgh.controller","src/main/java/com/tgs/tgh/controller/HomeController.java","2","300","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"67","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","14","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"68","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","14","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"69","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","18","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"70","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","18","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"71","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","1","20","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"72","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","1","20","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"73","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","3","20","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"74","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","3","20","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"75","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","2","24","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"76","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","2","24","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"77","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","25","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"78","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","25","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"79","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","1","27","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"80","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","1","27","AvoidThrowingRawExceptionTypes: Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"81","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","3","27","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"82","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","3","27","ControlStatementBraces: This statement should have braces","Code Style","ControlStatementBraces"
"83","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","32","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"84","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","32","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"85","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","3","33","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'citas'","Code Style","UnnecessaryLocalBeforeReturn"
"86","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","3","33","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'citas'","Code Style","UnnecessaryLocalBeforeReturn"
"87","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","38","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"88","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","4","38","UnnecessaryFullyQualifiedName: Unnecessary use of fully qualified name 'DBBroker.get' due to existing same package import 'com.tgs.tgh.dao.*'","Code Style","UnnecessaryFullyQualifiedName"
"89","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","3","39","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'citas'","Code Style","UnnecessaryLocalBeforeReturn"
"90","com.tgs.tgh.dao","src/main/java/com/tgs/tgh/dao/CitaDAO.java","3","39","UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'citas'","Code Style","UnnecessaryLocalBeforeReturn"
